Year,MonthOfYear,DayOfMonth,HourOfDay(UTC),AirTemperature(C),filename
2011,4,17,1,-21.89,KAN_B_hour_v03.csv
2011,4,17,2,-22.3,KAN_B_hour_v03.csv
2011,4,17,3,-23.28,KAN_B_hour_v03.csv
2011,4,17,4,-22.61,KAN_B_hour_v03.csv
2011,4,17,5,-23.52,KAN_B_hour_v03.csv
2011,4,17,6,-24.08,KAN_B_hour_v03.csv
2011,4,17,7,-23.2,KAN_B_hour_v03.csv
2011,4,17,8,-23.11,KAN_B_hour_v03.csv
2011,4,17,9,-21.73,KAN_B_hour_v03.csv
2011,4,17,10,-20.54,KAN_B_hour_v03.csv
2011,4,17,11,-19.54,KAN_B_hour_v03.csv
2011,4,17,12,-18.41,KAN_B_hour_v03.csv
2011,4,17,13,-17.39,KAN_B_hour_v03.csv
2011,4,17,14,-16.96,KAN_B_hour_v03.csv
2011,4,17,15,-16.46,KAN_B_hour_v03.csv
2011,4,17,16,-15.52,KAN_B_hour_v03.csv
2011,4,17,17,-15.53,KAN_B_hour_v03.csv
2011,4,17,18,-15.04,KAN_B_hour_v03.csv
2011,4,17,19,-14.9,KAN_B_hour_v03.csv
2011,4,17,20,-15.5,KAN_B_hour_v03.csv
2011,4,17,21,-16.08,KAN_B_hour_v03.csv
2011,4,17,22,-16.94,KAN_B_hour_v03.csv
2011,4,17,23,-17.23,KAN_B_hour_v03.csv
2011,4,18,0,-18.6,KAN_B_hour_v03.csv
2011,4,18,1,-18.31,KAN_B_hour_v03.csv
2011,4,18,2,-17.64,KAN_B_hour_v03.csv
2011,4,18,3,-17.96,KAN_B_hour_v03.csv
2011,4,18,4,-18.04,KAN_B_hour_v03.csv
2011,4,18,5,-18.11,KAN_B_hour_v03.csv
2011,4,18,6,-18.28,KAN_B_hour_v03.csv
2011,4,18,7,-18.46,KAN_B_hour_v03.csv
2011,4,18,8,-18.03,KAN_B_hour_v03.csv
2011,4,18,9,-17.6,KAN_B_hour_v03.csv
2011,4,18,10,-17.3,KAN_B_hour_v03.csv
2011,4,18,11,-17.26,KAN_B_hour_v03.csv
2011,4,18,12,-16.55,KAN_B_hour_v03.csv
2011,4,18,13,-15.72,KAN_B_hour_v03.csv
2011,4,18,14,-15.01,KAN_B_hour_v03.csv
2011,4,18,15,-14.41,KAN_B_hour_v03.csv
2011,4,18,16,-14.01,KAN_B_hour_v03.csv
2011,4,18,17,-13.24,KAN_B_hour_v03.csv
2011,4,18,18,-13.74,KAN_B_hour_v03.csv
2011,4,18,19,-13.69,KAN_B_hour_v03.csv
2011,4,18,20,-14.03,KAN_B_hour_v03.csv
2011,4,18,21,-14.61,KAN_B_hour_v03.csv
2011,4,18,22,-15.22,KAN_B_hour_v03.csv
2011,4,18,23,-15.85,KAN_B_hour_v03.csv
2011,4,19,0,-16.55,KAN_B_hour_v03.csv
2011,4,19,1,-18.72,KAN_B_hour_v03.csv
2011,4,19,2,-18.98,KAN_B_hour_v03.csv
2011,4,19,3,-21.27,KAN_B_hour_v03.csv
2011,4,19,4,-21.16,KAN_B_hour_v03.csv
2011,4,19,5,-21.26,KAN_B_hour_v03.csv
2011,4,19,6,-21.82,KAN_B_hour_v03.csv
2011,4,19,7,-23.25,KAN_B_hour_v03.csv
2011,4,19,8,-23.54,KAN_B_hour_v03.csv
2011,4,19,9,-22.83,KAN_B_hour_v03.csv
2011,4,19,10,-20.63,KAN_B_hour_v03.csv
2011,4,19,11,-20.31,KAN_B_hour_v03.csv
2011,4,19,12,-17.96,KAN_B_hour_v03.csv
2011,4,19,13,-17.48,KAN_B_hour_v03.csv
2011,4,19,14,-16.94,KAN_B_hour_v03.csv
2011,4,19,15,-16.66,KAN_B_hour_v03.csv
2011,4,19,16,-16.32,KAN_B_hour_v03.csv
2011,4,19,17,-16.24,KAN_B_hour_v03.csv
2011,4,19,18,-16.33,KAN_B_hour_v03.csv
2011,4,19,19,-16.46,KAN_B_hour_v03.csv
2011,4,19,20,-16.89,KAN_B_hour_v03.csv
2011,4,19,21,-17.86,KAN_B_hour_v03.csv
2011,4,19,22,-18.38,KAN_B_hour_v03.csv
2011,4,19,23,-18.9,KAN_B_hour_v03.csv
2011,4,20,0,-19.23,KAN_B_hour_v03.csv
2011,4,20,1,-19.69,KAN_B_hour_v03.csv
2011,4,20,2,-19.81,KAN_B_hour_v03.csv
2011,4,20,3,-19.95,KAN_B_hour_v03.csv
2011,4,20,4,-21.51,KAN_B_hour_v03.csv
2011,4,20,5,-22.91,KAN_B_hour_v03.csv
2011,4,20,6,-23.66,KAN_B_hour_v03.csv
2011,4,20,7,-24.51,KAN_B_hour_v03.csv
2011,4,20,8,-23.69,KAN_B_hour_v03.csv
2011,4,20,9,-22.28,KAN_B_hour_v03.csv
2011,4,20,10,-22.19,KAN_B_hour_v03.csv
2011,4,20,11,-20.01,KAN_B_hour_v03.csv
2011,4,20,12,-19.15,KAN_B_hour_v03.csv
2011,4,20,13,-18.15,KAN_B_hour_v03.csv
2011,4,20,14,-16.95,KAN_B_hour_v03.csv
2011,4,20,15,-17.14,KAN_B_hour_v03.csv
2011,4,20,16,-16.31,KAN_B_hour_v03.csv
2011,4,20,17,-16.17,KAN_B_hour_v03.csv
2011,4,20,18,-15.37,KAN_B_hour_v03.csv
2011,4,20,19,-15.79,KAN_B_hour_v03.csv
2011,4,20,20,-16.09,KAN_B_hour_v03.csv
2011,4,20,21,-16.2,KAN_B_hour_v03.csv
2011,4,20,22,-16.65,KAN_B_hour_v03.csv
2011,4,20,23,-17.27,KAN_B_hour_v03.csv
2011,4,21,0,-18.91,KAN_B_hour_v03.csv
2011,4,21,1,-20.66,KAN_B_hour_v03.csv
2011,4,21,2,-20.54,KAN_B_hour_v03.csv
2011,4,21,3,-20.66,KAN_B_hour_v03.csv
2011,4,21,4,-20.58,KAN_B_hour_v03.csv
2011,4,21,5,-20.95,KAN_B_hour_v03.csv
2011,4,21,6,-20.85,KAN_B_hour_v03.csv
2011,4,21,7,-20.39,KAN_B_hour_v03.csv
2011,4,21,8,-21.39,KAN_B_hour_v03.csv
2011,4,21,9,-18.82,KAN_B_hour_v03.csv
2011,4,21,10,-18.02,KAN_B_hour_v03.csv
2011,4,21,11,-16.55,KAN_B_hour_v03.csv
2011,4,21,12,-15.17,KAN_B_hour_v03.csv
2011,4,21,13,-13.74,KAN_B_hour_v03.csv
2011,4,21,14,-13.35,KAN_B_hour_v03.csv
2011,4,21,15,-12.7,KAN_B_hour_v03.csv
2011,4,21,16,-13.0,KAN_B_hour_v03.csv
2011,4,21,17,-12.47,KAN_B_hour_v03.csv
2011,4,21,18,-12.4,KAN_B_hour_v03.csv
2011,4,21,19,-12.9,KAN_B_hour_v03.csv
2011,4,21,20,-13.53,KAN_B_hour_v03.csv
2011,4,21,21,-14.85,KAN_B_hour_v03.csv
2011,4,21,22,-15.78,KAN_B_hour_v03.csv
2011,4,21,23,-16.16,KAN_B_hour_v03.csv
2011,4,22,0,-15.75,KAN_B_hour_v03.csv
2011,4,22,1,-17.28,KAN_B_hour_v03.csv
2011,4,22,2,-18.9,KAN_B_hour_v03.csv
2011,4,22,3,-17.96,KAN_B_hour_v03.csv
2011,4,22,4,-18.92,KAN_B_hour_v03.csv
2011,4,22,5,-19.22,KAN_B_hour_v03.csv
2011,4,22,6,-20.17,KAN_B_hour_v03.csv
2011,4,22,7,-21.13,KAN_B_hour_v03.csv
2011,4,22,8,-20.68,KAN_B_hour_v03.csv
2011,4,22,9,-19.45,KAN_B_hour_v03.csv
2011,4,22,10,-18.64,KAN_B_hour_v03.csv
2011,4,22,11,-17.53,KAN_B_hour_v03.csv
2011,4,22,12,-16.72,KAN_B_hour_v03.csv
2011,4,22,13,-15.0,KAN_B_hour_v03.csv
2011,4,22,14,-13.64,KAN_B_hour_v03.csv
2011,4,22,15,-14.04,KAN_B_hour_v03.csv
2011,4,22,16,-12.65,KAN_B_hour_v03.csv
2011,4,22,17,-13.14,KAN_B_hour_v03.csv
2011,4,22,18,-12.61,KAN_B_hour_v03.csv
2011,4,22,19,-12.09,KAN_B_hour_v03.csv
2011,4,22,20,-12.73,KAN_B_hour_v03.csv
2011,4,22,21,-12.93,KAN_B_hour_v03.csv
2011,4,22,22,-13.35,KAN_B_hour_v03.csv
2011,4,22,23,-14.41,KAN_B_hour_v03.csv
2011,4,23,0,-15.91,KAN_B_hour_v03.csv
2011,4,23,1,-15.99,KAN_B_hour_v03.csv
2011,4,23,2,-16.16,KAN_B_hour_v03.csv
